"id","status","date_created","user_updated","date_updated","judul","tipe_koleksi","pembuat_koleksi","lembaga_penanggungjawab","lokasi_koleksi","keterangan_koleksi","keywords","tanggal_dibuat","tanggal_publikasi","user_created.first_name","user_created.last_name","thumbnail.id","thumbnail.filename_disk"
"750B703F-29CA-4B42-89D1-00AA39C40FC9","published","2024-10-04T02:58:29.426Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-10-04T03:02:58.153Z","Besek Anyaman","Artefak",,"Pusat Pengelolaan Pengetahuan UNPAD","Gedung Grha Kandaga Lt 3 R. Diorama","<p><span style=""font-family: 'times new roman', times, serif;"">Besek adalah&nbsp;keranjang yang terbuat dari anyaman bambu yang oleh masyarakat dan biasa digunakan untuk membawa makanan atau tempat oleh-oleh.</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Bambu anyam</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : 14 cm x 12 cm ukuran besar dan 12 cm x 9 cm ukuran kecil</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi : 3D</span></p>
<p>&nbsp;</p>
<p><span style=""font-family: 'times new roman', times, serif;""><em>Besek is a basket made of woven bamboo that is commonly used by the community to carry food or souvenirs.</em></span></p>
<p><span style=""font-family: 'times new roman', times, serif;""><em>Material: Woven bamboo</em></span></p>
<p><span style=""font-family: 'times new roman', times, serif;""><em>Size: 14 cm x 12 cm large size and 12 cm x 9 cm small size</em></span></p>
<p><span style=""font-family: 'times new roman', times, serif;""><em>Dimensions: 3D</em></span></p>","[""sistem peralatan"",""teknologi"",""tradisional"",""sunda""]",,"2024-09-25","Naafa","Naafiatul Insi","1EF0BE9D-80DE-4EA7-B863-EA006F3F4F18","1EF0BE9D-80DE-4EA7-B863-EA006F3F4F18.png"
"EDD890E2-BDA2-4890-B865-081EED4CCA3B","published","2024-10-04T02:52:50.906Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-10-04T03:03:16.296Z","Tingkem","Artefak",,"Pusat Pengelolaan Pengetahuan UNPAD","Gedung Grha Kandaga Lt 3 R. Dioarama","<p><span style=""font-family: 'times new roman', times, serif;"">Tingkem adalah perabot dapur sebagai wadah menyimpan makanan agar mudah didistribusikan kepada penerima paket. Saat ini tingkem tergantikan oleh kardus. Tingkem terbuat dari anyaman bambu berbentuk persegi</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Bambu</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : 14 cm x 19 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi : 3D</span></p>
<p>&nbsp;</p>
<p><em><span style=""font-family: 'times new roman', times, serif;"">Tingkem is a piece of kitchen furniture that serves as a container to store food for easy distribution to the recipient. Nowadays, tingkem has been replaced by cardboard boxes. Tingkem is made of woven bamboo in a square shape.</span></em></p>
<p><em><span style=""font-family: 'times new roman', times, serif;"">Material: Bamboo</span></em></p>
<p><em><span style=""font-family: 'times new roman', times, serif;"">Size: 14 x 19 cm</span></em></p>
<p><em><span style=""font-family: 'times new roman', times, serif;"">Dimension: 3D</span></em></p>",,,"2024-09-25","Naafa","Naafiatul Insi","E97443AB-3F28-4942-804D-E12F9E49D03F","E97443AB-3F28-4942-804D-E12F9E49D03F.png"
"A85386D9-FF88-4B27-939E-403EC2177D51","published","2024-10-04T02:43:37.996Z",,,"Aseuk Hatong","Artefak",,"Pusat Pengelolaan Pengetahuan Universitas Padjadjaran ","Gedung Grha Kandaga Lt 3 R. Diorama","<p><span style=""font-family: 'times new roman', times, serif;"">Aseuk Hatong adalah sebuah alat ""ngahual taneuh"" membajak tanah di huma (ladang) terbuat dari batang kayu kecil yang pada bagian ujung bawah dipasang ""hatong"" alat penghasil bunyi yang terbuat dari bambu tertentu yang terpilih. Dalam praktiknya ngaseuk (membajak) dengan aseuk hatong ini, ada nyanyian yang mengikuti proses membajak.</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Batang kayu&nbsp;</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : PL 13 : 129 cm x 4 cm, PL 11 : 110,5 cm x 3 cm, PL 12 : 131 cm x 4 cm, PL 14 : 131 cm x cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi : 3D&nbsp;</span></p>
<p>&nbsp;</p>
<p><em><span style=""font-family: 'times new roman', times, serif;"">Aseuk Hatong is a tool ""ngahual taneuh"" plowing land in huma (fields) made of small wooden trunks with a ""hatong"" installed at the bottom end, a sound-producing tool made of selected bamboo. In practice, ngaseuk (plowing) with this aseuk hatong, there is a song that accompanies the plowing process.</span></em></p>
<p><em><span style=""font-family: 'times new roman', times, serif;"">Material: Wooden trunks</span></em></p>
<p><em><span style=""font-family: 'times new roman', times, serif;"">Size: PL 13: 129 cm x 4 cm, PL 11: 110.5 cm x 3 cm, PL 12: 131 cm x 4 cm, PL 14: 131 cm x cm</span></em></p>
<p><em><span style=""font-family: 'times new roman', times, serif;"">Dimensions: 3D</span></em></p>","[""sistem peralatan"",""teknologi"",""tradisional"",""sunda""]",,"2024-09-25","Naafa","Naafiatul Insi","4F0CD5CD-7AC1-4E64-8FAB-43EA3840A7E7","4F0CD5CD-7AC1-4E64-8FAB-43EA3840A7E7.png"
"BC67CCC6-5D09-40F9-963B-F3B76604EE52","published","2024-09-25T03:55:33.690Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-10-04T03:28:02.650Z","Patik",,,"Pusat Pengelolaan Pengetahuan UNPAD","Gedung Grha Kandaga Lt 3 R. Diorama","<p><span style=""font-family: 'times new roman', times, serif;"">Patik adalah kapak besar yang digunakan sebagai alat untuk membelah kayu dan melakukan berbagai macam pekerjaan yang bersifat berat. Senjata ini dibuat dari besi yang cukup kokoh dan tajam di bagian ujung.</span></p>
<p><span lang=""IN"" style=""font-family: 'times new roman', times, serif;"">Bahan : Kayu &amp; Besi</span></p>
<p><span lang=""IN"" style=""font-family: 'times new roman', times, serif;"">Ukuran : 70,5 cm x 20 cm</span></p>
<p><span lang=""IN"" style=""font-family: 'times new roman', times, serif;"">Dimensi : 3D</span></p>
<p>&nbsp;</p>
<p><span style=""font-family: 'times new roman', times, serif;""><em>Patik is a large axe that is used as a tool for splitting wood and various kinds of heavy work. This weapon is made of quite solid and sharp iron at the tip</em></span></p>
<p><span style=""font-family: 'times new roman', times, serif;""><em>Material: Wood &amp; Iron</em></span></p>
<p><span style=""font-family: 'times new roman', times, serif;""><em>Size: 70.5 cm x 20 cm</em></span></p>
<p><span style=""font-family: 'times new roman', times, serif;""><em>Dimension: 3D</em></span></p>","[""sistem peralatan"",""tradisional"",""teknologi"",""sunda""]",,"2024-09-25","Naafa","Naafiatul Insi","2D4E3B3C-D5B5-4B3A-833F-2F924CCB8B8D","2D4E3B3C-D5B5-4B3A-833F-2F924CCB8B8D.png"
"65EC1F51-34FF-4DD9-BF7A-C4CD975826A3","published","2024-09-19T02:56:29.593Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-24T02:07:53.483Z","Cover SDG's ","infografis","Annisa Yuniar, S.I.Pus. & Saskia Dwi Indriani","Pusat Pengelolaan Pengetahuan Universitas Padjadjaran",,"<p><span style=""font-family: 'times new roman', times, serif;"">Jenis: Konten SDG's</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Jumlah: 1</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran: 24 x 36,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi: 2D</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan: Art Paper 260g</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Letak: Tiang Kiri Gedung Grha Kandaga Lantai 1</span></p>","[""cover SDG's"",""SDG's"",""sustainable development goals"",""infografis""]","2024-06-11","2024-09-19","Naafa","Naafiatul Insi","77B01CBC-2EDF-4DA3-B8C0-F5FD356DB7C1","77B01CBC-2EDF-4DA3-B8C0-F5FD356DB7C1.jpg"
"1E259EBF-230D-4507-97D8-02BB6CAD35F1","published","2024-09-19T02:53:23.813Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-23T07:52:58.776Z","Localise SDG's","infografis","Annisa Yuniar, S.I.Pus. & Saskia Dwi Indriani","Pusat Pengelolaan Pengetahuan Universitas Padjadjaran",,"<p><span style=""font-family: 'times new roman', times, serif;"">Jenis: Konten SDG's</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Jumlah: 1</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran: 29,5 x 41,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi: 2D</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan: Art Paper 260g</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Letak: Lobby Dalam Gedung Grha Kandaga Lantai 1</span></p>","[""SDG's"",""localise SDG's"",""sustainable development goals"",""infografis"",""galeri""]","2024-06-12","2024-09-19","Naafa","Naafiatul Insi","526C853A-46FF-4E2D-A6D8-FC386AC81BA1","526C853A-46FF-4E2D-A6D8-FC386AC81BA1.jpg"
"C5983FD5-35FB-4751-A7E6-82360115A73B","published","2024-09-19T02:51:47.350Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-23T08:05:09.193Z","Website Localise SDG's","infografis","Annisa Yuniar, S.I.Pus. & Saskia Dwi Indriani","Pusat Pengelolaan Pengetahuan Universitas Padjadjaran",,"<p><span style=""font-family: 'times new roman', times, serif;"">Jenis: Konten SDG's</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Jumlah: 1</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran: 29,5 x 41,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi: 2D</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan: Art Paper 260g</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Letak: Lobby Dalam Gedung Grha Kandaga Lantai 1</span></p>","[""website localise SDG's"",""website SDG's"",""localise SDG's"",""infografis""]","2024-06-12","2024-09-19","Naafa","Naafiatul Insi","3D3D412F-F135-4FB3-832E-61E9412E9D47","3D3D412F-F135-4FB3-832E-61E9412E9D47.jpg"
"4F46B383-0FBE-4329-B574-F909DEF6764B","published","2024-09-19T02:49:41.926Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-24T02:10:31.163Z","Website Resmi SDG's Indonesia ","infografis","Annisa Yuniar, S.I.Pus. & Saskia Dwi Indriani","Pusat Pengelolaan Pengetahuan Universitas Padjadjaran",,"<p><span style=""font-family: 'times new roman', times, serif;"">Jenis: Konten SDG's</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Jumlah: 1</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran: 29,5 x 41,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi: 2D</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan: Art Paper 260g</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Letak: Lobby Dalam Gedung Grha Kandaga Lantai 1</span></p>","[""website resmi SDG's Indonesia"",""website SDG's"",""website resmi SDG's"",""SDG's Indonesia"",""infografis""]","2024-06-12","2024-09-19","Naafa","Naafiatul Insi","DA3E1FDE-009D-410D-9299-7D111EB9BF9C","DA3E1FDE-009D-410D-9299-7D111EB9BF9C.jpg"
"E39D1933-5B42-432A-9FDB-1781D5B2E117","published","2024-09-19T02:45:16.426Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-23T07:55:27.930Z","Website SDG's Center Unpad","infografis","Annisa Yuniar, S.I.Pus. & Saskia Dwi Indriani","Pusat Pengelolaan Pengetahuan Universitas Padjadjaran",,"<p><span style=""font-family: 'times new roman', times, serif;"">Jenis: Konten SDG's</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Jumlah: 1</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran: 29,5 x 41,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi: 2D</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan: Art Paper 260g</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Letak: Lobby Dalam Gedung Grha Kandaga Lantai 1</span></p>","[""website SDG's center unpad"",""SDG's Unpad"",""SDG's Center"",""website SDG's""]","2024-06-12","2024-09-19","Naafa","Naafiatul Insi","07527767-F10A-40D4-8BA4-9B0124BB5AE1","07527767-F10A-40D4-8BA4-9B0124BB5AE1.jpg"
"05D2ABF0-BB1C-408D-AABC-79B5162F9D08","published","2024-09-18T16:43:54.046Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-23T08:00:47.526Z","Website SDG's Internasional","infografis","Annisa Yuniar, S.I.Pus. & Saskia Dwi Indriani","Pusat Pengelolaan Pengetahuan Universitas Padjadjaran",,"<p><span style=""font-family: 'times new roman', times, serif;"">Jenis: Konten SDG's</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Jumlah: 1</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran: 29,5 x 41,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi: 2D</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan: Art Paper 260g</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Letak: Lobby Dalam Gedung Grha Kandaga Lantai 1</span></p>","[""website SDG's"",""international SDG's website"",""SDG's"",""infografis""]","2024-06-11","2024-09-18","Naafa","Naafiatul Insi","A9060014-8BBE-4F4A-BDFD-3A8DFCFD84A5","A9060014-8BBE-4F4A-BDFD-3A8DFCFD84A5.jpg"
"5D680238-B0C1-47C2-B3B3-B60DE6C026FD","published","2024-09-18T16:41:19.656Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-24T02:06:36.466Z","17 Goals SDG's","infografis","Annisa Yuniar, S.I.Pus. & Saskia Dwi Indriani","Pusat Pengelolaan Pengetahuan Universitas Padjadjaran",,"<p><span style=""font-family: 'times new roman', times, serif;"">Jenis: Konten SDG's</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Jumlah: 1</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran: 29,5 x 41,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi: 2D</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan: Art Paper 260g</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Letak: Lobby Dalam Gedung Grha Kandaga Lantai 1</span></p>","[""17 goals SDG's"",""SDG's goal"",""SDG's"",""sustainable development goals"",""infografis""]","2024-06-11","2024-09-18","Naafa","Naafiatul Insi","7F954FAB-4F1D-44C2-A303-0D489B293B62","7F954FAB-4F1D-44C2-A303-0D489B293B62.jpg"
"B3BF7269-2623-4252-85BB-EA4972A0E3D2","published","2024-09-18T16:39:01.743Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-24T02:09:59.156Z","Tujuan SDG's","infografis","Annisa Yuniar, S.I.Pus. & Saskia Dwi Indriani","Pusat Pengelolaan Pengetahuan Universitas Padjadjaran",,"<p><span style=""font-family: 'times new roman', times, serif;"">Jenis: Konten SDG's</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Jumlah: 1</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran: 29,5 x 41,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi: 2D</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan: Art Paper 260g</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Letak: Lobby Dalam Gedung Grha Kandaga Lantai 1</span></p>","[""tujuan SDG's"",""SDG's"",""sustainable development goals"",""infografis""]","2024-06-11","2024-09-18","Naafa","Naafiatul Insi","7679E5EA-4DB3-495D-AA79-A50F1B2C3AAB","7679E5EA-4DB3-495D-AA79-A50F1B2C3AAB.jpg"
"877BD5DD-D4FD-4F12-85F8-81282F470CFE","published","2024-09-18T16:36:49.180Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-23T08:04:51.326Z","Cover SDG's","infografis","Annisa Yuniar, S.I.Pus.","Pusat Pengelolaan Pengetahuan Universitas Padjadjaran",,"<p><span style=""font-family: 'times new roman', times, serif;"">Jenis: Konten SDG's</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Jumlah: 1</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran: 29,5 x 41,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi: 2D</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan: Art Paper 260g</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Letak: Lobby Dalam Gedung Grha Kandaga Lantai 1</span></p>","[""cover SDG's"",""SDG's"",""sustainable development goals""]","2024-06-11","2024-09-18","Naafa","Naafiatul Insi","B6E0438A-3C1D-41E4-90A6-F8F3FA181563","B6E0438A-3C1D-41E4-90A6-F8F3FA181563.jpg"
"81D5F37D-312C-4754-93DE-970F18390536","published","2024-09-18T16:33:18.753Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-24T02:03:12.093Z","Website Unpad Press","infografis","Annisa Yuniar, S.I.Pus. & Ariel Mohammaf Alief Yusuf","Pusat Pengelolaan Pengetahuan Universitas Padjadjaran",,"<p><span style=""font-family: 'times new roman', times, serif;"">Jenis: Profil</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Jumlah: 1</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran: 24 x 36,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi: 2D</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan: Art Paper 260g</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Letak: Lobby Kanan Gedung Grha Kandaga Lantai 1</span></p>","[""website unpad press"",""unpad press"",""infografis"",""penerbitan unpad""]","2024-02-01","2024-09-18","Naafa","Naafiatul Insi","30C43AE0-4122-431F-AA98-90AD3062DDAC","30C43AE0-4122-431F-AA98-90AD3062DDAC.jpg"
"DC0D5939-8D0C-49E8-AA32-9542C96ED00B","published","2024-09-18T16:31:28.930Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-24T02:02:50.186Z","E-Journal Unpad","infografis","Annisa Yuniar, S.I.Pus. & Muhaemin","Pusat Pengelolaan Pengetahuan Universitas Padjadjaran",,"<p><span style=""font-family: 'times new roman', times, serif;"">Jenis: Profil</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Jumlah: 1</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran: 24 x 36,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi: 2D</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan: Art Paper 260g</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Letak: Lobby Kanan Gedung Grha Kandaga Lantai 1</span></p>","[""e-journal unpad"",""jurnal unpad"",""koleksi e-journal""]","2024-02-01","2024-09-18","Naafa","Naafiatul Insi","0F37EFBC-3CD0-4AA8-B025-8FE0BD4A1AE2","0F37EFBC-3CD0-4AA8-B025-8FE0BD4A1AE2.jpg"
"F17F7088-4197-4E52-964E-33BCA611F6C9","published","2024-09-18T16:29:01.170Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-23T07:56:24.893Z","E-Resources Unpad","infografis","Annisa Yuniar, S.I.Pus. & Amalia Roudhotul Jannah","Pusat Pengelolaan Pengetahuan Universitas Padjadjaran",,"<p><span style=""font-family: 'times new roman', times, serif;"">Jenis: Profil</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Jumlah: 1</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran: 24 x 36,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi: 2D</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan: Art Paper 260g</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Letak: Lobby Kanan Gedung Grha Kandaga Lantai 1</span></p>","[""e-resources"",""layanan e-resources"",""infografis"",""eresources langganan unpad"",""pintu.unpad.ac.id"",""daftar eresources""]","2024-02-01","2024-09-18","Naafa","Naafiatul Insi","80281C82-28F8-4E79-B37B-ACC14D5B51CF","80281C82-28F8-4E79-B37B-ACC14D5B51CF.jpg"
"44B43A8F-D239-4443-B223-98100264EC69","published","2024-09-18T16:26:54.136Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-24T02:04:23.926Z","Layanan Pemeriksaan Plagiasi","infografis","Annisa Yuniar, S.I.Pus. & Muhammad Ihsan","Pusat Pengelolaan Pengetahuan Universitas Padjadjaran",,"<p><span style=""font-family: 'times new roman', times, serif;"">Jenis: Profil</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Jumlah: 1</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran: 24 x 36,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi: 2D</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan: Art Paper 260g</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Letak: Lobby Kanan Gedung Grha Kandaga Lantai 1</span></p>","[""layanan pemeriksaan plagiasi"",""cek plagiasi"",""layanan"",""infografis"",""turnitin""]","2024-02-01","2024-09-18","Naafa","Naafiatul Insi","07A3EB18-5651-426F-87B5-6A5AB4DEBD70","07A3EB18-5651-426F-87B5-6A5AB4DEBD70.jpg"
"C128AEA6-2AA4-41BC-BBC6-5615212E2E7C","published","2024-09-18T16:24:34.980Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-23T07:58:31.203Z","Layanan Bebas Pustaka","infografis","Annisa Yuniar, S.I.Pus. & Muhaemin","Pusat Pengelolaan Pengetahuan Universitas Padjadjaran",,"<p><span style=""font-family: 'times new roman', times, serif;"">Jenis: Profil</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Jumlah: 1</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran: 24 x 36,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi: 2D</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan: Art Paper 260g</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Letak: Lobby Kanan Gedung Grha Kandaha Lantai 1</span></p>","[""Layanan Bebas Pustaka"",""Bebas Pustaka"",""Infografis"",""syarat sidang""]","2024-02-01","2024-09-18","Naafa","Naafiatul Insi","BD8D234C-C12E-425E-B4AA-ADB3EDA57B04","BD8D234C-C12E-425E-B4AA-ADB3EDA57B04.jpg"
"47DD83E9-7BD4-44A8-A314-6088018E64B4","published","2024-09-18T16:22:17.630Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-09-23T07:59:22.156Z","More Info - QR","infografis","Annisa Yuniar, S.I.Pus.","Pusat Pengelolaan Pengetahuan Universitas Padjadjaran",,"<p><span style=""font-family: 'times new roman', times, serif;"">Jenis: Profil</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Jumlah: 1</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran: 24 x 36,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi: 2D</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan: Art Paper 260g</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Letak: Lobby Kanan Gedung Grha Kandaga Lantai 1</span></p>","[""More Info"",""QR"",""Infografis"",""more info kandaga"",""informasi kandaga"",""informasi layanan kandaga"",""informasi fasilitas kandaga""]","2024-02-01","2024-09-18","Naafa","Naafiatul Insi","34181574-415D-410C-AC89-052846A22928","34181574-415D-410C-AC89-052846A22928.jpg"
"E39C77A6-C903-47F5-9557-DDA561C70B8C","published","2024-09-18T07:53:55.716Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-10-04T03:27:41.120Z","Calung Rénténg Indung dan Anak + Panakol","Artefak",,"Pusat Pengelolaan Pengetahuan UNPAD","Gedung Grha Kandaga Lt 3 R. Diorama","<p><span style=""font-family: 'times new roman', times, serif;"">Alat musik tradsional Sunda yang terbuat dari bambu. Alat musik ini terdiri dari 17 segmen bambu Wulung yang diikat secara berderet dengan tali seperti Gambang. Pada masa lampau, calung renteng dimainkan untuk mengusir burung dan hama di sawah.</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : bambu</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : 78 cm x 58,5 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">DImensi 3D</span></p>
<p>&nbsp;</p>
<p><em><span style=""font-family: 'times new roman', times, serif;"">Sundanese traditional musical instrument made of bamboo. This musical instrument consists of 17 wulung bamboo segments tied in rows with strings like gambang (a xylophone). In the past, calung renteng was played to ward off birds and pests in the rice fields.</span></em></p>
<p><em><span style=""font-family: 'times new roman', times, serif;"">Material: bamboo</span></em></p>
<p><em><span style=""font-family: 'times new roman', times, serif;"">Size: 78 cm x 58.5 cm</span></em></p>
<p><em><span style=""font-family: 'times new roman', times, serif;"">Dimensions : 3D</span></em></p>","[""sistem peralatan"",""tradisional"",""sunda"",""musik"",""seni""]",,"2024-09-18","Naafa","Naafiatul Insi","161A5BDA-3750-48AE-9014-A6C6D31FEEE8","161A5BDA-3750-48AE-9014-A6C6D31FEEE8.png"
"98AB4386-A1B0-4CA1-88B3-FEFF10939E0F","published","2024-09-18T07:33:25.870Z","EE52F8FE-5D3A-48AD-8C79-6F6C4CC8FDF0","2024-10-04T03:28:12.486Z","Tarawangsa + Pangeset","Artefak",,"Pusat Pengelolaan Pengetahuan UNPAD","Gedung Grha Kandaga Lt 3 R. Diorama","<p><span style=""font-family: 'times new roman', times, serif;"">Merupakan alat musik tradisional daerah Jawa Barat yang menyerupai kecapi. Tarawangsa memiliki fungsi sebagai sarana rasa syukur para petani hasil panen padi yang melimpah.</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Bahan : Kayu dan Senar</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Ukuran : 79 cm x 12 cm</span></p>
<p><span style=""font-family: 'times new roman', times, serif;"">Dimensi : 3D</span></p>
<p>&nbsp;</p>
<p><em><span style=""font-family: 'times new roman', times, serif;"">The tarawangsa is a traditional musical instrument from West Java that resembles kecapi (a harp). It is used as a means of gratitude by farmers for the abundant rice harvest.</span></em></p>
<p><em><span style=""font-family: 'times new roman', times, serif;"">Material: Wood and String</span></em></p>
<p><em><span style=""font-family: 'times new roman', times, serif;"">Size: 79 cm x 12 cm</span></em></p>
<p><em><span style=""font-family: 'times new roman', times, serif;"">Dimensions : 3D</span></em></p>","[""sistem peralatan"",""tradisional"",""sunda"",""seni"",""musik""]",,"2024-09-18","Naafa","Naafiatul Insi","1F61D7A8-4C1D-4C3A-A69D-BEBA587CAD5B","1F61D7A8-4C1D-4C3A-A69D-BEBA587CAD5B.png"
